State,Murder,Assault,UrbanPop,Rape
Alabama,13.2,236,58,21.2
Alaska,10.0,263,48,44.5
Arizona,8.1,294.0,80.0,31.0
Arkansas,8.8,190.0,50.0,19.5
California,9.0,276.0,91.0,40.6
Colorado,7.9,204.0,78.0,38.7
Connecticut,3.3,110.0,77.0,11.1
Delaware,5.9,238.0,72.0,15.8
Florida,15.4,335.0,80.0,31.9
Georgia,17.4,211.0,60.0,25.8
Hawaii,5.3,46.0,83.0,20.2
Idaho,2.6,120.0,54.0,14.2
Illinois,10.4,249.0,83.0,24.0
Indiana,7.2,113.0,65.0,21.0
Iowa,2.2,56.0,57.0,11.3
Kansas,6.0,115.0,66.0,18.0
Kentucky,9.7,109.0,52.0,16.3
Louisiana,15.4,249.0,66.0,22.2
Maine,2.1,83.0,51.0,7.8
Maryland,11.3,300.0,67.0,27.8
Massachusetts,4.4,149.0,85.0,16.3
Michigan,12.1,255.0,74.0,35.1
Minnesota,2.7,72.0,66.0,14.9
Mississippi,16.1,259.0,44.0,17.1
Missouri,9.0,178.0,70.0,28.2
Montana,6.0,109.0,53.0,16.4
Nebraska,4.3,102.0,62.0,16.5
Nevada,12.2,252.0,81.0,46.0
New Hampshire,2.1,57.0,56.0,9.5
New Jersey,7.4,159.0,89.0,18.8
New Mexico,11.4,285.0,70.0,32.1
New York,11.1,254.0,86.0,26.1
North Carolina,13.0,337.0,45.0,16.1
North Dakota,0.8,45.0,44.0,7.3
Ohio,7.3,120.0,75.0,21.4
Oklahoma,6.6,151.0,68.0,20.0
Oregon,4.9,159.0,67.0,29.3
Pennsylvania,6.3,106.0,72.0,14.9
Rhode Island,3.4,174.0,87.0,8.3
South Carolina,14.4,279.0,48.0,22.5
South Dakota,3.8,86.0,45.0,12.8
Tennessee,13.2,188.0,59.0,26.9
Texas,12.7,201.0,80.0,25.5
Utah,3.2,120.0,80.0,22.9
Vermont,2.2,48.0,32.0,11.2
Virginia,8.5,156.0,63.0,20.7
Washington,4.0,145.0,73.0,26.2
West Virginia,5.7,81.0,39.0,9.3
Wisconsin,2.6,53.0,66.0,10.8
Wyoming,6.8,161.0,60.0,15.6
